dic_line	entry	headword	candidate_pos	candidate_lemma	evidence	confidence	word_csv_lemmas	lefff_analyses	reason
46940	mesdames po:NOUN	mesdames	NOUN	madame	word.csv+Lefff 3.4	medium	madame	madame:fp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
46941	mesdemoiselles po:NOUN	mesdemoiselles	NOUN	mademoiselle	word.csv+Lefff 3.4	medium	mademoiselle	mademoiselle:fp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
48633	morale/S. po:ADJ	morale	ADJ	moral	word.csv+Lefff 3.4	high	moral	moral:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
51017	nouvel po:ADJ	nouvel	ADJ	nouveau	word.csv+Lefff 3.4	high	nouveau	nouveau:ms	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
54084	pascaux po:ADJ	pascaux	ADJ	pascal	word.csv+Lefff 3.4	high	pascal	pascal:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
54470	peaux-rouges po:NOUN po:ADJ	peaux-rouges	NOUN	peau-rouge	Lefff 3.4	high	peaux-rouges	peau-rouge:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
55476	petite-bourgeoise po:NOUN po:ADJ	petite-bourgeoise	NOUN	petit-bourgeois	Lefff 3.4	high	petite-bourgeoise	petit-bourgeois:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
55493	petits-bourgeois po:NOUN po:ADJ	petits-bourgeois	NOUN	petit-bourgeois	Lefff 3.4	high	petits-bourgeois	petit-bourgeois:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
58420	pourvu po:VERB	pourvu	VERB	pourvoir	word.csv+Lefff 3.4	medium	pourvoir	pourvoir:Kms	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
58867	première-née po:NOUN po:ADJ	première-née	NOUN	premier-né	Lefff 3.4	medium	première-née	premier-né:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
58871	premiers-nés po:NOUN po:ADJ	premiers-nés	NOUN	premier-né	Lefff 3.4	high	premiers-nés	premier-né:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
59258	primitive/S. po:ADJ	primitive	ADJ	primitif	word.csv+Lefff 3.4	high	primitif	primitif:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
60726	quakeresse/S. po:NOUN	quakeresse	NOUN	quaker	Lefff 3.4	medium	quakeresse	quaker:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
61979	ratte/S. po:NOUN	ratte	NOUN	rat	Lefff 3.4	high	ratte	rat:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
62963	réduit/S. po:NOUN po:ADJ po:VERB	réduit	VERB	réduire	word.csv+Lefff 3.4	high	réduire	réduire:Kms|réduire:P3s	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
65469	rigolote/S. po:NOUN po:ADJ	rigolote	NOUN	rigolo	Lefff 3.4	high	rigolote	rigolo:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
65469	rigolote/S. po:NOUN po:ADJ	rigolote	ADJ	rigolo	word.csv+Lefff 3.4	high	rigolo	rigolo:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
67144	scampis po:NOUN	scampis	NOUN	scampi	word.csv+Lefff 3.4	high	scampi	scampi:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
67546	seconde po:NOUN	seconde	NOUN	second	word.csv	high	second		word.csv has no self-lemma for this form and POS
68938	sociaux-démocrates po:NOUN po:ADJ	sociaux-démocrates	NOUN	social-démocrate	Lefff 3.4	medium	sociaux-démocrates	social-démocrate:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
69901	speakerine/S. po:NOUN	speakerine	NOUN	speaker	Lefff 3.4	medium	speakerine	speaker:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
72659	targuie po:NOUN po:ADJ	targuie	NOUN	targui	Lefff 3.4	high	targuie	targui:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
74713	toute-puissante po:NOUN po:ADJ	toute-puissante	ADJ	tout-puissant	Lefff 3.4	high	toute-puissante	tout-puissant:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
74890	traîtresse/S. po:NOUN po:ADJ	traîtresse	NOUN	traître	Lefff 3.4	medium	traîtresse	traître:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
76019	tsarine/S. po:NOUN	tsarine	NOUN	tsar	Lefff 3.4	medium	tsarine	tsar:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
76300	typesse/S. po:NOUN	typesse	NOUN	type	Lefff 3.4	medium	typesse	type:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
